iter: 0
del: 0
clusters: 1
del: 2
clusters: 1
del: 4
clusters: 1
del: 6
clusters: 1
del: 8
clusters: 1
del: 10
clusters: 1
del: 12
clusters: 1
del: 14
clusters: 1
del: 16
clusters: 6
del: 18
clusters: 7
del: 20
clusters: 8
del: 22
clusters: 15
del: 24
clusters: 15
del: 26
clusters: 15
del: 28
clusters: 14
del: 30
clusters: 16
del: 32
clusters: 14
del: 34
clusters: 14
del: 36
clusters: 16
del: 38
clusters: 16
del: 40
clusters: 22

iter: 1
del: 0
clusters: 1
del: 2
clusters: 1
del: 4
clusters: 1
del: 6
clusters: 1
del: 8
clusters: 1
del: 10
clusters: 1
del: 12
clusters: 1
del: 14
clusters: 2
del: 16
clusters: 4
del: 18
clusters: 6
del: 20
clusters: 7
del: 22
clusters: 10
del: 24
clusters: 11
del: 26
clusters: 12
del: 28
clusters: 13
del: 30
clusters: 17
del: 32
clusters: 24
del: 34
clusters: 23
del: 36
clusters: 23
del: 38
clusters: 23
del: 40
clusters: 25

iter: 0
del: 0
clusters: 1
del: 2
clusters: 1
del: 4
clusters: 1
del: 6
clusters: 1
del: 8
clusters: 1
del: 10
clusters: 1
del: 12
iter: 0
del: 0
clusters: 1
del: 2
iter: 0
del: 0
clusters: 1
del: 2
clusters: 1
del: 4
clusters: 1
del: 6
clusters: 1
del: 8
clusters: 1
del: 10
clusters: 1
del: 12
clusters: 1
del: 14
clusters: 3
del: 16
clusters: 3
del: 18
clusters: 4
del: 20
clusters: 16
del: 22
clusters: 18
del: 24
clusters: 18
del: 26
clusters: 17
del: 28
clusters: 15
del: 30
clusters: 19
del: 32
clusters: 21
del: 34
clusters: 19
del: 36
clusters: 20
del: 38
clusters: 20
del: 40
clusters: 29

iter: 1
del: 0
clusters: 1
del: 2
clusters: 1
del: 4
clusters: 1
del: 6
clusters: 1
del: 8
clusters: 1
del: 10
clusters: 1
del: 12
clusters: 1
del: 14
clusters: 1
del: 16
clusters: 3
del: 18
clusters: 3
del: 20
clusters: 3
del: 22
clusters: 7
del: 24
clusters: 7
del: 26
clusters: 9
del: 28
clusters: 11
del: 30
clusters: 12
del: 32
clusters: 15
del: 34
clusters: 15
del: 36
clusters: 16
del: 38
clusters: 16
del: 40
clusters: 20

iter: 0
del: 0
clusters: 1
del: 2
clusters: 1
del: 4
clusters: 1
del: 6
clusters: 1
del: 8
clusters: 1
del: 10
clusters: 1
del: 12
clusters: 1
del: 14
clusters: 6
del: 16
clusters: 11
del: 18
clusters: 13
del: 20
clusters: 15
del: 22
clusters: 49
del: 24
clusters: 38
del: 26
clusters: 43
del: 28
iter: 0
iter: 0
del: 0
del: 0
clusters: 1
del: 2
clusters: 1
del: 2
clusters: 1
del: 4
clusters: 1
del: 6
clusters: 1
del: 8
clusters: 1
del: 10
clusters: 1
del: 12
clusters: 2
del: 14
clusters: 3
del: 16
clusters: 9
del: 18
clusters: 10
del: 20
clusters: 19
del: 22
